Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Iron and Steel Production & Metallurgical Coke Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,4,4,4,4,4,3
,N2Oc,"1,512","1,480","1,479","1,574","1,526","1,566","1,606","1,559","1,562","1,527","1,484","1,537","1,532","1,535","1,568","1,521","1,513","1,548","1,492","1,488","1,519","1,488","1,391","1,549","1,583","1,565","1,507","1,492","1,536","1,533","1,430"
,Agricultural Soil Management,"1,060","1,023","1,015","1,094","1,032","1,051","1,082","1,052","1,064","1,037",989,"1,064","1,056","1,060","1,104","1,053","1,037","1,074","1,062","1,078","1,091","1,049",983,"1,142","1,175","1,172","1,110","1,102","1,137","1,159","1,061"
,Wastewater Treatment,56,57,58,59,61,61,62,62,64,66,67,66,67,68,68,68,70,70,69,69,70,71,73,74,74,75,76,78,79,79,79
,Stationary Combustion,84,84,85,87,89,90,92,94,95,95,100,99,103,107,111,115,114,116,114,106,115,110,102,110,111,102,101,95,95,84,78
,Manure Management,47,47,48,47,49,51,50,51,52,53,55,54,55,56,54,55,57,57,57,57,57,58,58,58,58,60,62,64,65,65,66
,Mobile Combustion,150,156,166,173,179,185,189,193,194,185,182,174,167,161,153,139,140,122,114,108,104,100,92,86,80,74,71,68,64,67,58
,Nitric Acid Production,41,41,42,42,45,45,47,48,48,46,45,36,39,37,37,38,37,44,38,32,39,37,35,36,37,39,34,31,32,34,31
,Adipic Acid Production,51,50,44,47,45,57,56,32,17,16,18,15,17,18,12,24,29,34,8,9,14,34,19,13,18,14,24,25,35,18,28
,N?O from Product Uses,14,14,13,15,15,15,15,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,Composting,1,1,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,5,6,6,6,6,6,7,7,7,7,7
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",6,5,6,6,6,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,8,8,7,7,7,6,6,5,5,5,4
,Incineration of Waste,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Electronics Industry,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
,Field Burning of Agricultural Residues,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Petroleum Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Natural Gas Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2
,HFCs,M, M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M ,M,M,M,M,M
,Substitution of Ozone Depleting Substancesd,M, M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M ,M,M,M,M,M
,HCFC-22 Production,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,+ ,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Electronics Industry,M, M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M ,M,M,M,M,M
,Magnesium Production and Processing,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,PFCs,M, M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M ,M,M,M,M,M
,Electronics Industry,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Aluminum Production,M, M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M , M ,M,M,M,M,M
,Substitution of Ozone Depleting Substancesd,NO ,NO ,NO ,NO ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Electrical Transmission and Distribution,NO ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ , NO ,+ ,+ ,NO ,+ ,+ 
,SF6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Electrical Transmission and Distribution,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Magnesium Production and Processing,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Electronics Industry,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,NF3,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Electronics Industry,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,CO,"130,085","125,930","121,825","117,172","112,692","108,629","103,539","100,584","98,397","93,817","92,285","88,754","76,062","73,083","69,969","66,912","62,599","58,359","53,412","46,485","46,816","45,625","44,382","43,130","41,864","40,033","35,882","34,752","33,743","32,734","31,725"
,NOx,"21,712","21,388","21,460","21,548","21,554","21,208","21,062","20,979","20,685","19,439","19,120","18,221","20,284","19,158","18,017","17,191","16,278","15,368","14,310","13,306","12,494","12,262","11,721","11,180","10,630","9,853","8,686","8,296","7,869","7,374","6,883"
,SO2,"20,935","20,298","20,033","19,752","19,365","16,891","16,680","17,090","17,186","15,917","14,829","14,452","13,637","13,433","13,219","13,196","11,904","10,613","9,365","8,245","7,014","5,877","4,608","4,421","4,240","3,578","2,906","2,303","2,211","1,943","1,780"
,NMVOCs,"20,923","20,718","20,500","20,130","19,837","19,512","17,444","17,252","16,662","16,048","15,505","15,323","15,272","14,636","13,984","13,309","13,004","12,699","11,994","11,685","11,746","11,837","11,630","11,423","11,214","10,679","9,855","9,483","9,310","9,136","8,963"
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M (Mixture of multiple gases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Emissions from Wood Biomass, Ethanol, and Biodiesel Consumption are not included specifically in summing Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Emissions from International Bunker Fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c LULUCF emissions of LULUCF CH4 and N2O are reported separately from gross emissions totals. Refer to Table 2?8 for a breakout of emissions and removals for LULUCF by gas and source category.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
