Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average Annual Change
,Manure Management,-2.3,(2.3),(2.3),(2.3),(2.4),(2.5),(2.4),(2.4),(2.6),(2.6),(2.4),(2.5),(2.4),(2.5),(2.4),-2.6,(2.6),(2.6),(2.5),(2.5),(2.6),(2.5),(2.5),(2.3),(2.4),(2.5),-2.5,-2.4,-2.3,-3.7,-2.5
,Rice Cultivation,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+),(+),(+),+,+
,Field Burning of Agricultural Residues,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Landfills,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.2,0.1 ,0.1 ,0.1 ,0.1 ,NC,NC,NC,NC,NC,(0.2),-0.1,-0.2,-0.4,-0.9,(+)
,Wastewater Treatment,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,+,+,+,+,+,+,-0.1,-0.3,0.1
,Composting,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Anaerobic Digestion at Biogas Facilities,+,+,+,+,+,+,+,+,+,+,+,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),NC,NC,(+),(+),(+),(+)
,Incineration of Waste,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,International Bunker Fuelsa,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,N2Oc,-2.2,(2.2),(2.2),(2.2),(2.3),(2.3),(2.2),(2.3),(2.3),(2.3),(2.3),(2.4),(2.4),(2.5),(2.5),-2.5,(1.5),(2.4),(2.2),(2.2),(2.2),(2.2),(2.1),(2.1),(2.2),(1.8),-1.6,-1.7,-1.5,-0.3,-2.1
,Stationary Combustion,(+),(+),+,+,(+),(+),(+),(+),(+),+,+,+,+,(+),(+),(+),+,(+),(+),(+),(+),+,(+),+,(+),(+),+,+,+,+,+
,Mobile Combustion,-0.1,(0.1),(0.1),(0.1),(0.1),(0.1),(0.2),(0.2),(0.2),(0.1),(0.1),(0.2),(0.2),(0.2),(0.2),-0.2,0.8 ,(0.1),+,+,+,+,0.1 ,0.1 ,0.2 ,0.3 ,0.3,0.3,0.3,2,0.1
,Adipic Acid Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,0.1,0.2,(+),+
,Nitric Acid Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Manure Management,-0.1,(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),-0.1,(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),(0.1),0.2 ,0.3,0.3,-0.2,-0.1,(+)
,Agricultural Soil Management,0.1,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.6 ,0.6 ,0.5 ,0.7 ,0.7,0.7,0.7,0.6,0.4
,Field Burning of Agricultural Residues,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+
,Wastewater Treatment,-2.1,(2.2),(2.2),(2.2),(2.3),(2.3),(2.4),(2.4),(2.4),(2.5),(2.6),(2.5),(2.6),(2.6),(2.7),-2.7,(2.7),(2.7),(2.7),(2.7),(2.8),(2.8),(2.9),(2.9),(3.0),(3.1),-3.1,-3.2,-2.6,-3,-2.6
,N2O from Product Uses,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Incineration of Waste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,+
,Composting,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Electronics Industry,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,(+),+,+,+
,Natural Gas Systems,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),+,(+),(+),(+),(+),(+),(+),(+),+,+,(+),+,+,(+),(+),(+),(+),(+),+,(+)
,Petroleum Systems,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+)
,International Bunker Fuelsa,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+)
,"HFCs, PFCs, SF6 and NF3",+,+,+,+,(+),(+),(+),(+),(+),(+),(+),(0.1),(0.1),(0.1),(0.1),-0.1,(0.1),(0.1),(0.2),(0.2),(0.2),(0.2),(0.4),(0.4),(0.5),(0.3),0.2,0.8,1.2,1.3,+
,HFCs,+,+,+,+,+,+,(+),(+),(+),(+),(+),(+),(0.1),(0.1),(0.1),-0.1,(0.1),(0.1),(0.1),(0.2),(0.2),(0.2),(0.2),(0.2),(0.3),(0.3),0.2,0.8,1.3,1.3,+
,Substitution of Ozone Depleting Substancesd                                                                                                                    ,NC,NC,NC,NC,NC,NC,(+),(+),(+),(+),(+),(+),(0.1),(0.1),(0.1),-0.1,(0.1),(0.1),(0.1),(0.2),(0.2),(0.2),(0.2),(0.2),(0.3),(0.3),0.2,0.8,1.3,1.3,+
,HCFC-22 Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+),NC,NC,NC,NC,NC,NC,NC,NC,(+)
,Electronics Industry,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
